link,abbreviation,firstYearOfPlay,franchiseId,active,season,clinchIndicator,gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg
/api/v1/teams/1,NJD,1982,23,True,20092010,1.0,82.0,48.0,27.0,7.0,103.0,62.8,2.634,2.268,1.0896,18.7,51.0,41.0,273.0,82.8,29.9878,26.9878,0.733,0.405,0.813,0.943,0.542,0.7,4244.0,2098.0,2146.0,49.4,8.8,0.916
/api/v1/teams/2,NYI,1972,22,True,20092010,0.0,82.0,34.0,37.0,11.0,79.0,48.2,2.61,3.146,0.8333,16.0,49.0,71.0,306.0,76.3,30.4024,31.939,0.641,0.209,0.6,0.794,0.405,0.462,4687.0,2261.0,2426.0,48.2,8.6,0.901
/api/v1/teams/3,NYR,1926,10,True,20092010,0.0,82.0,38.0,33.0,11.0,87.0,53.0,2.671,2.61,1.0643,18.3,55.0,50.0,301.0,84.3,29.5732,29.878,0.618,0.354,0.692,0.842,0.447,0.463,4545.0,2235.0,2310.0,49.2,9.0,0.913
/api/v1/teams/4,PHI,1967,16,True,20092010,1.0,82.0,41.0,35.0,6.0,88.0,53.7,2.829,2.707,0.9724,21.4,68.0,57.0,317.0,83.0,31.5732,28.6098,0.673,0.242,0.786,0.882,0.449,0.556,4823.0,2415.0,2408.0,50.1,9.0,0.905
/api/v1/teams/5,PIT,1967,17,True,20092010,1.0,82.0,47.0,28.0,7.0,101.0,61.6,3.037,2.866,1.0745,17.2,56.0,52.0,326.0,84.1,32.7805,28.6585,0.683,0.463,0.769,0.848,0.571,0.517,4754.0,2342.0,2412.0,49.3,9.3,0.9
/api/v1/teams/6,BOS,1924,6,True,20092010,1.0,82.0,39.0,30.0,13.0,91.0,55.5,2.39,2.329,0.951,16.6,44.0,37.0,265.0,86.4,31.6951,29.8171,0.7,0.262,0.731,0.786,0.532,0.345,4640.0,2441.0,2199.0,52.6,7.5,0.922
/api/v1/teams/7,BUF,1970,19,True,20092010,1.0,82.0,45.0,27.0,10.0,100.0,61.0,2.817,2.451,1.0966,17.6,55.0,38.0,313.0,86.6,31.561,31.378,0.756,0.341,0.778,1.0,0.457,0.643,4665.0,2269.0,2396.0,48.6,8.9,0.922
/api/v1/teams/8,MTL,1917,1,True,20092010,1.0,82.0,39.0,33.0,10.0,88.0,53.7,2.561,2.659,0.9041,21.8,57.0,53.0,261.0,83.0,28.6098,32.122,0.718,0.256,0.633,0.839,0.457,0.452,4597.0,2285.0,2312.0,49.7,9.0,0.917
/api/v1/teams/9,OTT,1992,30,True,20092010,1.0,82.0,44.0,32.0,6.0,94.0,57.3,2.683,2.841,0.8772,16.9,49.0,50.0,290.0,84.3,29.7073,28.5366,0.756,0.317,0.84,0.966,0.565,0.548,4648.0,2293.0,2355.0,49.3,9.0,0.9
/api/v1/teams/10,TOR,1926,5,True,20092010,0.0,82.0,30.0,38.0,14.0,74.0,45.1,2.561,3.207,0.9448,14.0,44.0,73.0,315.0,74.7,32.5732,29.7561,0.6,0.231,0.632,0.818,0.383,0.357,4684.0,2381.0,2303.0,50.8,7.9,0.892
